query,positive,negative
NTU RGB+D: A Large Scale Dataset for 3D Human Activity Analysis,"['CovP3DJ: Skeleton-parts-based-covariance Descriptor for Human Action Recognition', 'Spatial, Structural and Temporal Feature Learning for Human Interaction Prediction', 'Action-Attending Graphic Neural Network', 'Skeleton based action recognition using translation-scale invariant image mapping and multi-scale deep CNN', 'Cascade Region Proposal and Global Context for Deep Object Detection']","['Parallel K-Means Clustering Based on MapReduce', 'Diversifying query suggestions based on query documents', 'Laplacian Regularized Low-Rank Representation and Its Applications', 'SemEval-2018 Task 1: Affect in Tweets', 'In-air gestures around unmodified mobile devices', 'Pedestrian detection with a Large-Field-Of-View deep network', 'A Low-Power RF Direct-Conversion Receiver/Transmitter for 2.4-GHz-Band IEEE 802.15.4 Standard in 0.18- $\\mu{\\hbox {m}}$ CMOS Technology', 'An Evaluation of Synthetic Speech Using the PESQ Measure', '""I am borrowing ya mixing ?"" An Analysis of English-Hindi Code Mixing in Facebook', 'Automated Detection and Analysis for Android Ransomware', 'Graph-Based Fraud Detection in the Face of Camouflage', 'Design Network Intrusion Detection System using hybrid Fuzzy-Neural Network', 'Listening to Action-related Sentences Activates Fronto-parietal Motor Circuits', 'Improving object proposals with multi-thresholding straddling expansion', 'Controlling Linguistic Style Aspects in Neural Language Generation', 'An architecture methodology for secure video conferencing', 'Requirements-oriented methodology for evaluating ontologies', 'Machine-to-Machine Communication in LTE-A', 'QSAR modeling: where have you been? Where are you going to?', 'Classifying Computer Generated Charts', ""Mental health consumers' experience of stigma."", 'Roles of Information Security Awareness and Perceived Fairness in Information Security Policy Compliance', 'ConceptNet at SemEval-2017 Task 2: Extending Word Embeddings with Multilingual Relational Knowledge', 'Context-Aware Correlation Filter Tracking', 'Automated Pyramid Scoring of Summaries using Distributional Semantics']"
Mucocele of the upper lip: case report of an uncommon presentation and its differential diagnosis.,"['A rare case presentation of oral actinomycosis.', 'Actinomycosis of the Upper Lip', 'Diagnostic dilemma in vascular mal-formation of the upper lip: a case report and review of literature', 'Warthin tumor of the upper lip: an unusual location of a benign salivary gland tumor.', 'Excision of Mucocele – a Case Report']","['Lock-free linked lists and skip lists', 'Intermediate and advanced topics in multilevel logistic regression analysis', 'Autonomous Multilateral Surgical Tumor Resection with Interchangeable Instrument Mounts and Fluid Injection Device', 'Lares: An Architecture for Secure Active Monitoring Using Virtualization', 'DeepBound: accurate identification of transcript boundaries via deep convolutional neural fields', 'COMPARISON OF MACHINE LEARNING ALGORITHMS RANDOM FOREST , ARTIFICIAL NEURAL NETWORK AND SUPPORT VECTOR MACHINE TO MAXIMUM LIKELIHOOD FOR SUPERVISED CROP TYPE CLASSIFICATION', 'Mental health and stigma in the medical profession.', 'An evaluation of binary XML encoding optimizations for fast stream based xml processing', 'Data-Driven 3-D Human Body Customization With a Mobile Device', 'The impact of physical and mental activity on cognitive aging.', 'Molar distalization with repelling magnets.', 'Does ease-of-use contributes to the perception of enjoyment? A case of gamification in e-banking', 'TM4: a free, open-source system for microarray data management and analysis.', 'Budgeted Online Collective Inference', 'Monotonic Chunkwise Attention', 'Facial Expression Recognition using Convolutional Neural Networks: State of the Art', 'Sequenced event set pattern matching', 'Surpassing Humans in Boundary Detection using Deep Learning', 'Spatio-temporal correlations and visual signalling in a complete neuronal population', 'Functional neurogenesis in the adult hippocampus', 'A Half-Turn Transformer With Symmetry Magnetic Flux for High-Frequency-Isolated DC/DC Converters', 'Compendium of physical activities: classification of energy costs of human physical activities.', 'Learn English or die : The effects of digital games on interaction and willingness to communicate in a foreign language', 'Task Scheduling in Cloud Computing : Review', 'Chronic disease outcomes after severe acute malnutrition in Malawian children (ChroSAM): a cohort study']"
Towards Efficient Cryptographic Group Access Control Systems,"['IRON: Functional Encryption using Intel SGX', 'SCONE: Secure Linux Containers with Intel SGX', 'Sanctum: Minimal Hardware Extensions for Strong Software Isolation', 'Unobservable Communication over Fully Untrusted Infrastructure', 'Identity-Based Broadcast Encryption with Constant Size Ciphertexts and Private Keys']","['The ALSFRS-R: a revised ALS functional rating scale that incorporates assessments of respiratory function', 'Improv Chat: Second Response Generation for Chatbot', 'Consensus photometric stereo', 'Gene selection for cancer identification: a decision tree model empowered by particle swarm optimization algorithm', 'Building Enterprise Systems Infrastructure Flexibility as Enabler of Organisational Agility: Empirical Evidence', 'Function and regulation in MAPK signaling pathways: lessons learned from the yeast Saccharomyces cerevisiae.', 'A compact planar feed structure for Ka-band satcom-on-the-move tracking antennas', 'Dysbiosis of the gut microbiota in disease', 'Learning in and about complex systems', 'Immunity to Device Variations in a Spiking Neural Network With Memristive Nanodevices', 'AlGaN/GaN current aperture vertical electron transistors', 'The ASTOOT Approach to Testing Object-Oriented Programs', 'Emotional modulation of cognitive control: approach-withdrawal states double-dissociate spatial from verbal two-back task performance.', 'Multilabel Classification via Co-Evolutionary Multilabel Hypernetwork', 'Hyperbolic centroidal Voronoi tessellation', 'Robust Appointment Scheduling', ""A computer vision-aided motion sensing algorithm for mobile robot's indoor navigation"", 'Confirmatory factor analysis of the WAIS-IV/WMS-IV.', 'Bayes Optimality in Linear Discriminant Analysis', 'A Fast Algorithm for Edge-Preserving Variational Multichannel Image Restoration', 'End-to-End Channel Capacity of a Wireless Sensor Network Under Reachback', 'ANALYTIC PROBLEMS FOR ELLIPTIC CURVES', 'Designing and implementing an integrated technological pedagogical science knowledge framework for science teachers professional development', 'Classification of text documents supervised by domain ontologies', 'Central Lip Lift as Aesthetic and Physiognomic Plastic Surgery: The Effect on Lower Facial Profile.']"
An Introduction to Machine Learning,"['Optimized Projection for Sparse Representation Based Classification', 'Gravitational Search Algorithm and Recent Trends', 'DL-Lite Ontology Revision Based on An Alternative Semantic Characterization', 'Ethical frontiers of ICT and older users: cultural, pragmatic and ethical issues', 'Fe b 20 04 A Diquark-Triquark Model for the KN Pentaquark']","['Vehicular Fog Computing: A Viewpoint of Vehicles as the Infrastructures', 'Hyper-Spherical Search (HSS) algorithm: a novel meta-heuristic algorithm to optimize nonlinear functions', 'REFLECTIONS ON FREQUENCY EFFECTS IN LANGUAGE PROCESSING', 'Barber‐say syndrome: a confirmed case of TWIST2 gene mutation', 'Environmental contamination by canine geohelminths', 'Soybean Productivity Modelling using Decision Tree Algorithms', 'Automated systolic array architecture synthesis for high throughput CNN inference on FPGAs', 'MANTIS-A ROBOT WITH ADVANCED LOCOMOTION AND MANIPULATION ABILITIES', 'Ku-Band Low-Profile Rx-only and Tx-Rx antennas for Mobile Satellite Communications', 'Perspectives of Mothers of Transgender and Gender-Nonconforming Children With Autism Spectrum Disorder.', 'A background subtraction algorithm for detecting and tracking vehicles', 'Design and simulation of a 1 to 14 GHz broadband electromagnetic compatibility DRGH antenna', 'Hanamogera speech robot which makes a person feel a talking is fun', 'A sliding mode missile pitch autopilot synthesis for high angle of attack maneuvering', 'Neural-Network-Based Models for Short-Term Traffic Flow Forecasting Using a Hybrid Exponential Smoothing and Levenberg–Marquardt Algorithm', 'Substructure counting graph kernels for machine learning from RDF data', 'On the performance of artificial bee colony (ABC) algorithm', 'Speciation of Chromium in Soil and Sludge in the Surrounding Tannery Region, Ranipet, Tamil Nadu', 'Clique percolation in random networks.', 'A Novel Recommendation Model Regularized with User Trust and Item Ratings', 'Visual Dynamics: Probabilistic Future Frame Synthesis via Cross Convolutional Networks', 'Modeling of particle size segregation : Calibration using the discrete particle method', 'Improved thermal design of fin heat sink for high-power LED lamp cooling', 'Filter Bank Common Spatial Pattern (FBCSP) algorithm using online adaptive and semi-supervised learning']"
"A lightweight, low-power electroadhesive clutch and spring for exoskeleton actuation","['Actuation of prosthetic drive using EMG signal', 'Landslides what is a landslide ?', ""On the distribution of DNA translocation times in solid-state nanopores: an analysis using Schrödinger's first-passage-time theory."", 'The emerging role of fumarate as an oncometabolite', 'A clutched parallel elastic actuator concept: Towards energy efficient powered legs in prosthetics and robotics']","['A Model for Temporal Dependencies in Event Streams', 'Efficacy of 2LPAPI ® , a Micro-Immunotherapy Drug, in Patients with High-Risk Papillomavirus Genital Infection', 'Progressive Web Apps: The Possible Web-native Unifier for Mobile Development', 'PID Controllers: Theory, Design, and Tuning', 'Imputing missing values using Inverse Distance Weighted Interpolation for time series data', 'A Benchmark Dataset for Outdoor Foreground/Background Extraction', 'Collaborative Partitioning for Coreference Resolution', 'Photovoltaic-Model-Based Solar Irradiance Estimators: Performance Comparison and Application to Maximum Power Forecasting', 'RUSBoost: A Hybrid Approach to Alleviating Class Imbalance', 'Resource management for isolation enhanced cloud services', 'Scale structure: Processing minimum standard and maximum standard scalar adjectives', 'Does food marketing need to make us fat? A review and solutions', 'An effective hop-by-hop Interest shaping mechanism for CCN communications', 'Thrombocytopenia absent radius (TAR) syndrome.', 'Tenofovir versus Placebo to Prevent Perinatal Transmission of Hepatitis B.', 'Stock Price Prediction via Discovering Multi-Frequency Trading Patterns', 'Tamoxifen for early breast cancer: an overview of the randomised trials', 'A 2D-fractional derivative mask for image feature edge detection', 'Intelligent Digital Built Heritage Models: An Approach from Image Processing and Building Information Modelling Technology', 'Gene Expression Analysis during Interaction of Tomato and Related Wild Species with Clavibacter michiganensis subsp. michiganensis', 'Properties of inductive reasoning.', 'When Worlds Collide: Integrating Different Counterfactual Assumptions in Fairness', 'High-intensity focused ultrasound treatment for skin: ex vivo evaluation.', 'A 25 Gb/s Hybrid-Integrated Silicon Photonic Source-Synchronous Receiver With Microring Wavelength Stabilization']"
Electrophysiological observations on the palmomental reflex in normal neonates,"['[Potentials of individual muscle fibers evoked by stimulation of prejunctional nerve endings in healthy subjects (preliminary observations)].', '[Uremic polyneuropathy in hemodialytic treatment (clinical and serial electrophysiological study of 43 cases)].', '[Etiopathogenetic considerations in 2 cases of dysmetabolic hypokalemic paralysis with signs of increased neuromuscular excitability during potassium repletion].', 'Propranolol, clonidine, urapidil and trazodone infusion in essential tremor: a double-blind crossover trial.', 'Descending and ascending spinal cord evoked potentials from oesophago-vertebral electrical stimulation in normal awake man.']","['Analysis of weighted networks.', 'Entity ranking in Wikipedia: utilising categories, links and topic difficulty prediction', 'Redundancy on Demand—Extending the Coverage Area of Terrestrial Broadcast via Broadband Networks', 'Passively Aligned Transmit Optical Subassembly Module Based on a WDM Incorporating VCSELs', 'Effectiveness of olanzapine, quetiapine, risperidone, and ziprasidone in patients with chronic schizophrenia following discontinuation of a previous atypical antipsychotic.', 'The Throughput of Packet Broadcasting Channels', ""Fournier's gangrene. Case report."", 'Deciding parity games in quasipolynomial time', 'Polar-Grid Representation and Kriging-Based 2.5D Interpolation for Urban Environment Modelling', 'A Learning-to-Infer Method for Real-Time Power Grid Topology Identification', 'The use of microelectrodes to investigate compartmentation and the transport of metabolized inorganic ions in plants.', 'Exploring the Millennium Run - Scalable Rendering of Large-Scale Cosmological Datasets', 'A study of prefix hijacking and interception in the internet', 'Design and analysis of a low-power high-speed charge-steering based StrongARM comparator', 'Multi-Agent Systems for Power Engineering Applications—Part II: Technologies, Standards, and Tools for Building Multi-agent Systems', 'Fractional order total variation regularization for image super-resolution', 'Scaling SGD Batch Size to 32K for ImageNet Training', 'Aspect-based opinion mining from product reviews', 'Towards Automatic Detection of Narrative Structure', 'A Hybrid Deep Learning Architecture for Paraphrase Identification', 'School Engagement : Potential of the Concept , State of the Evidence', 'XBOS: An Extensible Building Operating System', 'The Good, the Bad, and the Ugly: An Empirical Study of Implicit Type Conversions in JavaScript', 'Optimal Tap Setting of Voltage Regulation Transformers in Unbalanced Distribution Systems', 'Multilingual NMT with a language-independent attention bridge']"
Neural Relation Extraction Within and Across Sentence Boundaries,"['Towards Addressing the Winograd Schema Challenge - Building and Using a Semantic Parser and a Knowledge Hunting Module', 'A Generalized Knowledge Hunting Framework for the Winograd Schema Challenge', 'Combining Long Short Term Memory and Convolutional Neural Network for Cross-Sentence n-ary Relation Extraction', 'AWML: adaptive weighted margin learning for knowledge graph embedding', 'Evaluating Theory of Mind in Question Answering']","['Composite Task-Completion Dialogue Policy Learning via Hierarchical Deep Reinforcement Learning', 'Impacts of IoT and big data to automotive industry', 'The Simple Economics of Open Source', 'Can we predict success from log data in VLEs? Classification of interactions for learning analytics and their relation with performance in VLE-supported F2F and online learning', 'Video Pixel Networks', 'Lessons and Challenges from Mining Retail E-Commerce Data', 'Deep Representation Learning for Human Motion Prediction and Classification', 'NLP and Machine Learning Techniques for Detecting Insulting Comments on Social Networking Platforms', 'Enhancing school-based prevention and youth development through coordinated social, emotional, and academic learning.', 'Mesh denoising via cascaded normal regression', 'Adverse health effects of marijuana use.', 'PD-L1 Expression as a Predictive Biomarker in Cancer Immunotherapy.', 'Monetary Policy Rules Based on Real-Time Data', 'Modified Playfair Cipher using Rectangular Matrix', 'BinaryConnect: Training Deep Neural Networks with binary weights during propagations', 'Machine learning applications in cancer prognosis and prediction', 'Rehabilitation after total hip arthroplasty: a systematic review of controlled trials on physical exercise programs.', 'Human Pose Estimation in Space and Time using 3D CNN', 'Unsupervised feature learning for audio classification using convolutional deep belief networks', 'Physical exercise habit: on the conceptualization and formation of habitual health behaviours.', 'DAAL: Deep activation-based attribute learning for action recognition in depth videos', 'Distributed Machine Learning-but at what COST ?', 'Graph-based distributed cooperative navigation for a general multi-robot measurement model', 'Vehicular Cloud Computing : Trends and Challenges', 'Language Understanding in the Wild: Combining Crowdsourcing and Machine Learning']"
Alternating Minimization for Mixed Linear Regression,"['Evidence Combination From an Evolutionary Game Theory Perspective', 'Exact Recovery of Sparsely-Used Dictionaries', 'Recommendations using linked data', 'Contrastive Learning Using Spectral Methods', 'Chaotic Autonomous Mobile Robot for Military Missions']","['Feature Extraction and Summarization of Recipes Using Flow Graph', 'Bacteriocins — a viable alternative to antibiotics?', 'A survey on wearable health monitoring systems', 'Safety and walking ability of KAFO users with the C-Brace® Orthotronic Mobility System, a new microprocessor stance and swing control orthosis', 'Optimizing de novo transcriptome assembly from short-read RNA-Seq data: a comparative study', 'Subpixel Multiplexing Method for 3D Lenticular Display', 'Bio-Inspired Artificial Intelligence: Theories, Methods, and Technologies', 'On Local Interpolation of DFT Outputs', 'An analysis of the Revised Olweus Bully/Victim Questionnaire using the Rasch measurement model.', 'Big Five factors of personality and replicated predictions of behavior.', 'Background Modeling and Foreground Detection for Maritime Video Surveillance', 'The Reality of Late- Term Abortion Procedures', 'Semantic Tagging of Mathematical Expressions', 'Zero-Bending Piezoelectric Micromachined Ultrasonic Transducer (pMUT) With Enhanced Transmitting Performance', 'Linear Convergence of Accelerated Stochastic Gradient Descent for Nonconvex Nonsmooth Optimization', 'Linear scan register allocation', 'A Simulation Environment for Middle-Size Robots with Multi-level Abstraction', 'A Deep Representation for Volumetric Shape Modeling', 'Reproducible research in computational science.', 'Innovation , Firm Dynamics , and International Trade', 'Learning Convolutional Networks for Content-Weighted Image Compression', 'Structure and Encapsulation in Distributed Systems: The Proxy Principle', 'Advanced encryption standard (AES) security enhancement using hybrid approach', 'Text Relatedness Based on a Word Thesaurus', 'Learning Decision Trees Using the Area Under the ROC Curve']"
Consumer Attitude Metrics for Guiding Marketing Mix Decisions,"['Assessing Marketing Performance : Reasons for Metrics Selection', 'A Hierarchical Bayesian Approach to Improve Media Mix Models Using Category Data', 'Geo-level Bayesian Hierarchical Media Mix Modeling', 'Television Advertising and Online Shopping', 'TV Ads and Search Spikes : Toward a Deeper Understanding']","['Noise2Noise: Learning Image Restoration without Clean Data', 'Comparative Analysis of ADS-B Verification Techniques', 'Inductance calculation and layout optimization for planar spiral inductors', 'Who can catch a liar?', 'Exploring isovist fields : space and shape in architectural and urban morphology', 'Price , Quality , and Value : A Means-End Model', 'The kaleidoscope of effective gamification: deconstructing gamification in business applications', 'Negotiating Masculinity in J . D . Salinger ’ s Catcher in the Rye', 'Social exclusion decreases prosocial behavior.', 'Mediterranean diet, traditional risk factors, and the rate of cardiovascular complications after myocardial infarction: final report of the Lyon Diet Heart Study.', 'Bi-Directional Differentiable Input Reconstruction for Low-Resource Neural Machine Translation', 'Decoding-History-Based Adaptive Control of Attention for Neural Machine Translation', 'Chapter 2: The burden of HPV-related cancers.', 'Liquidity risk of corporate bond returns : conditional approach $ Viral', 'Teaching English Discrete Sounds through Minimal Pairs', 'Fact-checking Effect on Viral Hoaxes: A Model of Misinformation Spread in Social Networks', 'The Investigation on Using Unity3D Game Engine in Urban Design Study', 'A Conditional Variational Framework for Dialog Generation', 'Deep Hybrid Models : Bridging Discriminative and Generative Approaches', 'Rotor surface ferrite magnet synchronous machine for generator use in a hybrid application — Electro-magnetic and thermal analysis', 'Research on Architecting Microservices: Trends, Focus, and Potential for Industrial Adoption', 'Short-term stock price prediction based on echo state networks', 'Soft Clustering for Very Large Data Sets', 'Hierarchical Adversarially Learned Inference', 'Verb Semantics and Lexical Selection']"
Markov logic for machine reading,"['A* Parsing: Fast Exact Viterbi Parse Selection', 'Scaling Textual Inference to the Web', 'The PASCAL Recognising Textual Entailment Challenge', 'Adaptive duplicate detection using learnable string similarity measures', 'Statistical language learning']","['Empowerment - an Introduction', 'Improving code review effectiveness through reviewer recommendations', 'Rationalizing Sentiment Analysis in Tensorflow', ""Achievements : Re ̄ ections on the Measurement of Women ' s Empowerment"", 'CPU and/or GPU: Revisiting the GPU Vs. CPU Myth', 'Low power LVDS transmitter with low common mode variation for 1GB/s-per pin operation', 'Differential Privacy as a Mutual Information Constraint', 'Side-channel leakage aware instruction scheduling', 'DB2 Design Advisor: Integrated Automatic Physical Database Design', 'Automatic Identification of Retinal Arteries and Veins in Fundus Images using Local Binary Patterns', 'Event-based Sensing for Space Situational Awareness', 'Diversified Visual Attention Networks for Fine-Grained Object Classification', 'Grid Connected PV Systems with Smart Grid functionality', 'Separable spectro-temporal Gabor filter bank features: Reducing the complexity of robust features for automatic speech recognition.', 'Botanical insecticides, deterrents, and repellents in modern agriculture and an increasingly regulated world.', 'Sensorized Garments and Textrode-Enabled Measurement Instrumentation for Ambulatory Assessment of the Autonomic Nervous System Response in the ATREC Project', 'Research on data augmentation for image classification based on convolution neural networks', 'Who Is Going to Get Hurt? Predicting Injuries in Professional Soccer', 'Highly Efficient Doherty Amplifier Based on Class-E Topology for WCDMA Applications', 'SVO: Semidirect Visual Odometry for Monocular and Multicamera Systems', 'Viewing Real-World Faces in 3D', 'Large-signal-modulation of high-efficiency light-emitting diodes for optical communication', 'Ricci Flow for 3D Shape Analysis', ""DARPA's explainable artificial intelligence (XAI) program"", 'MAGIC—Memristor-Aided Logic']"
Language Model Pre-training for Hierarchical Document Representations,"['Long Short-Term Memory', 'Simple and Effective Multi-Paragraph Reading Comprehension', 'Learning Distributed Representations of Sentences from Unlabelled Data', 'A unified architecture for natural language processing: deep neural networks with multitask learning', 'Teaching Machines to Read and Comprehend']","['Airport capacity: representation, estimation, optimization', 'Deep Learning Human Mind for Automated Visual Classification', 'A visual tool for ontology alignment to enable geospatial interoperability', 'DisGeNET: a discovery platform for the dynamical exploration of human diseases and their genes', 'CURE-TSR: Challenging Unreal and Real Environments for Traffic Sign Recognition', 'Zero-Knowledge Proofs of Knowledge Without Interaction (Extended Abstract)', 'Principles of interleukin (IL)-6-type cytokine signalling and its regulation.', 'Introducing qualitative research in psychology Adventures in theory and method', 'Shaping particle simulations with interaction forces', 'Kernel estimation for motion blur removal using deep convolutional neural network', 'Distributed Packet Inspection By Using PIL-2 Language', 'Effects of hippotherapy and therapeutic horseback riding on postural control or balance in children with cerebral palsy: a meta-analysis.', 'Attend More Times for Image Captioning', 'On mining cross-graph quasi-cliques', 'The KeY Platform for Verification and Analysis of Java Programs', 'A review of eye-tracking applications as tools for training', 'Deciphering Severely Degraded License Plates', 'New Comparative Study Between DES, 3DES and AES within Nine Factors', ""The Digital Sin City: An Empirical Study of Craigslist's Impact on Prostitution Trends"", 'Leveraging the schema in latent factor models for knowledge graph completion', 'An architecture of agent-based multi-layer interactive e-learning and e-testing platform', 'Crowd Sourcing, with a Few Answers: Recommending Commuters for Traffic Updates', 'Parsing C/C++ Code without Pre-processing', 'Forecasting Foreign Exchange Rates Using Recurrent Neural Networks', 'Prognostics and health management using physics-of-failure']"
High-fidelity simulation for evaluating robotic vision performance,"['Design and use paradigms for Gazebo, an open-source multi-robot simulator', 'SeqSLAM: Visual route-based navigation for sunny summer days and stormy winter nights', 'A Naturalistic Open Source Movie for Optical Flow Evaluation', 'ImageNet Large Scale Visual Recognition Challenge', 'Probabilistic Semi-Dense Mapping from Highly Accurate Feature-Based Monocular SLAM']","['Question Type Classification Using a Part-of-Speech Hierarchy', 'Systematic review of bankruptcy prediction models: Towards a framework for tool selection', 'Monitoring and depth of strategy use in computer-based learning environments for science and history.', 'Calorie restriction extends Saccharomyces cerevisiae lifespan by increasing respiration', 'Making Scheduling ""Cool"": Temperature-Aware Workload Placement in Data Centers', 'An improved fuzzy clustering method using modified Fukuyama-Sugeno cluster validity index', 'Designing a mobile game to thwarts malicious IT threats: A phishing threat avoidance perspective', 'The public health risks of media violence: a meta-analytic review.', 'Sampling-oscilloscope measurement of a microwave mixer with single-digit phase accuracy', 'Developing a data quality framework for asset management in engineering organisations', 'How to Enhance Cloud Architectures to Enable Cross-Federation: Towards Interoperable Storage Providers', 'Vaping on Instagram: cloud chasing, hand checks and product placement.', 'Harvesting Mid-level Visual Concepts from Large-Scale Internet Images', 'Dissociation between face perception and face memory in adults, but not children, with developmental prosopagnosia', 'Feedforward neural network and ANFIS-based approaches to forecasting the off-cam energy characteristics of Kaplan turbine', 'Can you fool AI with adversarial examples on a visual Turing test?', 'Scrutinizing WPA2 Password Generating Algorithms in Wireless Routers', 'Maintenance scheduling of geographically distributed assets with prognostics information', 'Fibonacci Exposure Bracketing for High Dynamic Range Imaging', 'Viewpoint-independent book spine segmentation', ""Internet of Things: A review to support IoT architecture's design"", 'Secure Conjunctive Keyword Search over Encrypted Data', 'A UHF class E2 DC/DC converter using GaN HEMTs', 'American Sign Language Translation through Sensory Glove ; SignSpeak', 'CryptoDL : Towards Deep Learning over Encrypted Data']"
Network Ingress Filtering: Defeating Denial of Service Attacks which employ IP Source Address Spoofing,"['DDoS: Survey of Traceback Methods', 'An analysis of using reflectors for distributed denial-of-service attacks', 'Advanced and Authenticated Marking Schemes for IP Traceback', 'DNS Security Introduction and Requirements', 'Analysis of a Denial of Service Attack on TCP']","['Dimensions and Metrics for Evaluating Recommendation Systems', 'Group sparse representation based classification for multi-feature multimodal biometrics', 'THE RIPPLE EFFECT : EMOTIONAL CONTAGION AND ITS INFLUENCE ON GROUP BEHAVIORi', 'Randomized Kinodynamic Motion Planning with Moving Obstacles', 'ZipML: Training Linear Models with End-to-End Low Precision, and a Little Bit of Deep Learning', 'On the value of static analysis for fault detection in software', 'Perspectives on cognitive neuroscience.', 'An incremental constraint-based framework for task and motion planning', 'Portfolio Allocation for Bayesian Optimization', 'Defending Critical Infrastructure', 'BOOTSTRAPPING TECHNIQUES TO IMPROVE THE BANDWIDTH OF TRANSIMPEDANCE AMPLIFIERS C .', 'Comprehension and memory processes in translation and interpreting', 'Can DNS-Based Blacklists Keep Up with Bots?', 'A Control Theory Perspective on Agile Methodology Use and Changing User Requirements', 'Agent-based software engineering', 'BBQ-Networks: Efficient Exploration in Deep Reinforcement Learning for Task-Oriented Dialogue Systems', 'Game Theory of Mind', 'Supervised Distributional Hypernym Discovery via Domain Adaptation', 'Network neuroscience', 'Unsupervised algorithms for non-intrusive load monitoring: An up-to-date overview', 'AND EVALUATION OF WELL-KNOWN METHODS FOR MOVING OBJECT DETECTION AND TRACKING IN VIDEOS', 'The Embodied Cognition Research Programme', 'Personalization of image enhancement', 'Image-Based Rendering and Synthesis', 'Communication-Efficient Distributed Online Learning with Kernels']"
Analyzing EEG signals to detect unexpected obstacles during walking,"['Power assist method for HAL-3 using EMG-based feedback controller', 'Adaptive control of a variable-impedance ankle-foot orthosis to assist drop-foot gait', 'Brain–machine interfaces: past, present and future', 'Lower Extremity Exoskeletons and Active Orthoses: Challenges and State-of-the-Art', 'A point process framework for relating neural spiking activity to spiking history, neural ensemble, and extrinsic covariate effects.']","['QUOTA: The Quantile Option Architecture for Reinforcement Learning', 'Child maltreatment and the developing brain : A review of neuroscience perspectives ☆', 'Practice Makes Perfect ? When Does Massed Learning Improve Product Usage Proficiency ?', 'Research on non-invasive glucose concentration measurement by NIR transmission', 'Who does what during a code review? Datasets of OSS peer review repositories', 'Digital Beamforming on Receive: Techniques and Optimization Strategies for High-Resolution Wide-Swath SAR Imaging', 'Optimization by simulated annealing.', 'Recommendations for the Assessment of Blend and Content Uniformity: Modifications to Withdrawn FDA Draft Stratified Sampling Guidance', 'Comparison of Parametric and Nonparametric Techniques for Non-peak Traffic Forecasting', 'Zika virus impairs growth in human neurospheres and brain organoids', 'The role of visual attention in saccadic eye movements.', 'Low-loss ultra-wideband transition between conductor-backed coplanar waveguide and substrate integrated waveguide', 'Range-Based Localization in Wireless Networks Using Density-Based Outlier Detection', 'LSD-induced entropic brain activity predicts subsequent personality change.', 'Deriving optimal weights in deep neural networks', 'A 3.4 – 6.2 GHz Continuously tunable electrostatic MEMS resonator with quality factor of 460–530', 'An Improved Variable On-Time Control Strategy for a CRM Flyback PFC Converter', 'Data fusion schemes for cooperative spectrum sensing in cognitive radio networks', 'WHY SUMMARIES OF RESEARCH ON PSYCHOLOGICAL THEORIES ARE OFTEN UNINTERPRETABLE', 'Time series forecasting using Artificial Neural Networks vs. evolving models', 'Symmetric Nonnegative Matrix Factorization: Algorithms and Applications to Probabilistic Clustering', 'Multi-Modal Fashion Product Retrieval', 'Data Structures and Algorithms for Nearest Neighbor Search in General Metric Spaces', 'Ultrasound-Assisted Evaluation ofthe Airway in Clinical AnesthesiaPractice: Past, Present and Future', 'Three stage 6–18 GHz high gain and high power amplifier based on GaN technology']"
Application of Dimensionality Reduction in Recommender System - A Case Study,"['Classification of Stress Management mHealth Apps Based on Octalysis Framework', 'Gamification and Human Factors in Quality Management Systems: Mapping from Octalysis Framework to ISO 10018', 'A Survey on Online Judge Systems and Their Applications', 'A Recurrent Neural Network Based Recommendation System', 'A Framework for Research in Gamified Mobile Guide Applications using Embodied Conversational Agents (ECAs)']","['Adversarially Regularized Graph Autoencoder', 'Business intelligence systems: design and implementation strategies', 'ShadowReplica: efficient parallelization of dynamic data flow tracking', 'Patching: A Multicast Technique for True Video-on-Demand Services', 'Information-Seeking Behavior in Generation Y Students : Motivation , Critical Thinking , and Learning Theory', 'Identifying the Provision of Choices in Privacy Policy Text', 'Do burnout and work engagement predict depressive symptoms and life satisfaction? A three-wave seven-year prospective study.', 'Using MVA and EVA to measure financial performance.', 'Data Storage in DNA', 'The coming technological singularity: How to survive in the post-human era', 'Empathy: Its ultimate and proximate bases.', '3D Photography on Your Desk', 'Mining system logs to learn error predictors: a case study of a telemetry system', 'The web centipede: understanding how web communities influence each other through the lens of mainstream and alternative news sources', 'EEG-Based Attention Tracking During Distracted Driving', 'SELF-CONFIDENCE AND PERSONAL MOTIVATION', 'A bias correction function for classification performance assessment in two-class imbalanced problems', 'Confusions among visually perceived consonants.', 'Dynamic binding in a neural network for shape recognition.', 'Toward robust early-warning models: A horse race, ensembles and model uncertainty', 'Wireless Implantable Blood Pressure Sensing Microsystem Design for Monitoring of Small Laboratory Animals', 'Divide-and-Conquer Approach for Multi-phase Statistical Migration for Source Code (T)', 'Food Image Segmentation for Dietary Assessment', 'Key importance of compression properties in the biophysical characteristics of hyaluronic acid soft-tissue fillers.', 'The Infinite Gaussian Mixture Model']"
